iter	Passed	Remaining
180	865	3915
181	869	3905
182	872	3896
183	876	3885
184	879	3875
185	883	3866
186	887	3860
187	894	3864
188	898	3854
189	903	3852
190	908	3848
191	912	3840
192	917	3834
193	920	3823
194	924	3816
195	927	3806
196	932	3802
197	936	3791
198	940	3785
199	944	3778
200	950	3777
201	954	3769
202	956	3756
203	959	3745
204	962	3732
205	965	3720
206	968	3709
207	972	3703
208	975	3692
209	979	3685
210	982	3673
211	986	3668
212	989	3657
213	993	3648
214	996	3637
215	999	3627
216	1003	3619
217	1006	3609
218	1010	3602
219	1013	3594
220	1020	3597
221	1027	3600
222	1030	3590
223	1034	3584
224	1038	3575
225	1042	3570
226	1045	3560
227	1050	3558
228	1054	3548
229	1059	3546
230	1065	3547
231	1068	3537
232	1073	3532
233	1075	3519
234	1078	3510
235	1083	3506
236	1086	3497
237	1090	3491
238	1093	3482
239	1098	3478
240	1101	3468
241	1105	3461
242	1107	3451
243	1110	3441
244	1115	3436
245	1117	3426
246	1122	3421
247	1125	3411
248	1129	3406
249	1132	3396
250	1137	3392
251	1140	3384
252	1146	3385
253	1149	3375
254	1153	3369
255	1156	3361
256	1161	3357
257	1164	3348
258	1168	3343
259	1171	3333
260	1173	3323
261	1178	3318
262	1181	3310
263	1185	3305
264	1188	3297
265	1193	3292
266	1196	3284
267	1201	3282
268	1204	3273
269	1209	3269
270	1213	3263
271	1218	3261
272	1224	3261
273	1229	3256
274	1234	3253
275	1237	3246
276	1242	3243
277	1245	3234
278	1249	3228
279	1252	3219
280	1257	3217
281	1259	3206
282	1264	3202
283	1265	3191
284	1268	3183
285	1273	3178
286	1276	3170
287	1280	3166
288	1283	3158
289	1287	3153
290	1291	3145
291	1293	3136
292	1297	3130
293	1300	3122
294	1304	3117
295	1307	3109
296	1311	3105
297	1314	3097
298	1318	3091
299	1320	3081
300	1323	3073
301	1330	3074
302	1335	3072
303	1338	3065
304	1342	3059
305	1345	3051
306	1349	3046
307	1352	3039
308	1355	3031
309	1359	3026
310	1363	3020
311	1367	3015
312	1370	3008
313	1375	3004
314	1378	2997
315	1384	2997
316	1387	2989
317	1392	2986
318	1398	2985
319	1402	2980
320	1410	2983
321	1418	2986
322	1426	2989
323	1432	2989
324	1438	2987
325	1441	2980
326	1448	2980
327	1449	2970
328	1456	2970
329	1463	2972
330	1468	2967
331	1472	2962
332	1477	2959
333	1481	2953
334	1486	2951
335	1490	2944
336	1496	2944
337	1502	2942
338	1505	2935
339	1511	2933
340	1516	2930
341	1521	2927
342	1527	2925
343	1534	2927
344	1539	2922
345	1543	2917
346	1550	2917
347	1554	2911
348	1559	2908
349	1566	2908
350	1570	2903
351	1575	2899
352	1581	2897
353	1584	2890
354	1589	2888
355	1593	2882
356	1598	2878
357	1603	2875
358	1606	2868
359	1615	2872
360	1620	2867
361	1634	2881
362	1642	2881
363	1649	2881
364	1652	2874
365	1658	2873
366	1662	2867
367	1666	2862
368	1672	2860
369	1675	2853
370	1680	2849
371	1687	2848
372	1689	2839
373	1694	2836
374	1698	2830
375	1704	2828
376	1710	2826
377	1713	2819
378	1718	2815
379	1723	2811
380	1726	2805
381	1731	2801
382	1738	2800
383	1740	2791
384	1745	2788
385	1748	2782
386	1754	2779
387	1762	2779
388	1765	2773
389	1771	2771
390	1774	2764
391	1779	2759
392	1785	2756
393	1788	2750
394	1794	2747
395	1800	2745
396	1804	2740
397	1812	2741
398	1818	2739
399	1824	2737
400	1827	2729
401	1831	2724
402	1834	2717
403	1838	2711
404	1841	2704
405	1844	2698
406	1848	2692
407	1851	2686
408	1856	2682
409	1859	2675
410	1863	2670
411	1866	2664
412	1870	2659
413	1873	2652
414	1877	2646
415	1880	2639
416	1882	2631
417	1886	2627
418	1889	2620
419	1893	2614
420	1897	2609
421	1900	2603
422	1904	2597
423	1908	2592
424	1911	2586
425	1914	2579
426	1918	2574
427	1921	2568
428	1925	2562
429	1928	2556
430	1931	2550
431	1934	2544
432	1938	2537
433	1942	2532
434	1943	2524
435	1948	2520
436	1951	2514
437	1954	2507
438	1957	2501
439	1960	2495
440	1966	2492
441	1971	2488
442	1974	2482
443	1977	2476
444	1982	2472
445	1987	2468
446	1990	2463
447	1995	2458
448	1999	2453
449	2004	2449
450	2008	2445
451	2015	2443
452	2020	2440
453	2024	2434
454	2028	2429
455	2031	2423
456	2035	2418
457	2038	2412
458	2042	2407
459	2044	2400
460	2047	2394
461	2051	2389
462	2054	2383
463	2058	2378
464	2061	2372
465	2066	2367
466	2069	2361
467	2072	2355
468	2076	2351
469	2079	2345
470	2083	2340
471	2088	2335
472	2091	2330
473	2094	2324
474	2099	2320
475	2101	2313
476	2105	2308
477	2108	2302
478	2111	2296
479	2115	2291
480	2118	2285
481	2121	2280
482	2124	2273
483	2128	2268
484	2131	2263
485	2135	2258
486	2137	2252
487	2140	2246
488	2144	2241
489	2147	2235
490	2149	2228
491	2154	2224
492	2157	2218
493	2160	2213
494	2163	2207
495	2166	2201
496	2170	2196
497	2172	2190
498	2175	2184
499	2178	2178
500	2182	2173
501	2185	2168
502	2188	2162
503	2191	2156
504	2194	2150
505	2199	2146
506	2203	2142
507	2209	2140
508	2212	2134
509	2216	2129
510	2219	2123
511	2221	2117
512	2224	2112
513	2227	2106
514	2231	2101
515	2234	2095
516	2238	2091
517	2241	2085
518	2243	2079
519	2248	2075
520	2251	2070
521	2255	2065
522	2258	2059
523	2262	2055
524	2265	2049
525	2269	2044
526	2272	2039
527	2277	2035
528	2280	2030
529	2282	2024
530	2288	2021
531	2290	2014
532	2294	2010
533	2297	2004
534	2301	2000
535	2304	1995
536	2308	1990
537	2311	1985
538	2314	1979
539	2318	1975
540	2322	1970
541	2325	1965
542	2328	1959
543	2332	1954
544	2334	1948
545	2337	1943
546	2341	1938
547	2343	1933
548	2346	1927
549	2350	1922
550	2353	1917
551	2356	1912
552	2360	1907
553	2363	1903
554	2366	1897
555	2369	1892
556	2374	1888
557	2376	1882
558	2380	1878
559	2383	1872
560	2387	1868
561	2391	1864
562	2398	1862
563	2405	1859
564	2411	1856
565	2421	1856
566	2431	1856
567	2437	1853
568	2441	1849
569	2445	1844
570	2450	1841
571	2455	1837
572	2460	1833
573	2467	1831
574	2471	1826
575	2475	1822
576	2480	1818
577	2484	1814
578	2491	1811
579	2497	1808
580	2501	1803
581	2506	1800
582	2508	1794
583	2513	1790
584	2518	1786
585	2522	1782
586	2527	1778
587	2531	1773
588	2535	1769
589	2539	1764
590	2544	1760
591	2548	1756
592	2551	1751
593	2554	1746
594	2559	1742
595	2563	1737
596	2568	1733
597	2573	1730
598	2577	1725
599	2584	1722
600	2590	1719
601	2596	1716
602	2600	1712
603	2606	1708
604	2614	1706
605	2620	1703
606	2624	1699
607	2629	1695
608	2632	1690
609	2637	1686
610	2640	1681
611	2645	1677
612	2649	1672
613	2654	1668
614	2657	1663
615	2663	1660
616	2667	1655
617	2670	1650
618	2676	1647
619	2679	1642
620	2684	1638
621	2688	1633
622	2693	1629
623	2696	1624
624	2701	1620
625	2704	1615
626	2709	1611
627	2712	1606
628	2717	1602
629	2720	1598
630	2725	1593
631	2728	1588
632	2733	1584
633	2737	1580
634	2742	1576
635	2746	1571
636	2750	1567
637	2754	1563
638	2758	1558
639	2762	1554
640	2765	1548
641	2771	1545
642	2774	1540
643	2779	1536
644	2782	1531
645	2787	1527
646	2790	1522
647	2795	1518
648	2799	1513
649	2805	1510
650	2812	1507
651	2818	1504
652	2821	1499
653	2825	1495
654	2829	1490
655	2832	1485
656	2836	1480
657	2841	1476
658	2846	1472
659	2851	1469
660	2855	1464
661	2860	1460
662	2863	1455
663	2867	1451
664	2871	1446
665	2875	1442
666	2878	1437
667	2882	1432
668	2886	1428
669	2889	1423
670	2892	1418
671	2896	1413
672	2899	1408
673	2901	1403
674	2906	1399
675	2910	1394
676	2914	1390
677	2917	1385
678	2921	1381
679	2925	1376
680	2929	1372
681	2932	1367
682	2936	1362
683	2939	1358
684	2944	1353
685	2947	1349
686	2951	1344
687	2955	1340
688	2960	1336
689	2964	1331
690	2967	1327
691	2972	1323
692	2975	1318
693	2979	1313
694	2983	1309
695	2986	1304
696	2990	1300
697	2993	1295
698	2999	1291
699	3004	1287
700	3008	1283
701	3013	1279
702	3016	1274
703	3020	1270
704	3023	1265
705	3027	1260
706	3032	1256
707	3037	1252
708	3041	1248
709	3045	1243
710	3048	1239
711	3052	1234
712	3055	1230
713	3059	1225
714	3062	1220
715	3066	1216
716	3070	1211
717	3073	1207
718	3077	1202
719	3080	1197
720	3084	1193
721	3087	1188
722	3090	1183
723	3093	1179
724	3096	1174
725	3100	1170
726	3103	1165
727	3107	1161
728	3110	1156
729	3114	1151
730	3117	1147
731	3121	1142
732	3124	1138
733	3128	1133
734	3132	1129
735	3135	1124
736	3139	1120
737	3141	1115
738	3145	1111
739	3149	1106
740	3152	1101
741	3156	1097
742	3159	1092
743	3163	1088
744	3166	1083
745	3170	1079
746	3173	1074
747	3177	1070
748	3180	1065
749	3184	1061
750	3187	1056
751	3190	1052
752	3195	1048
753	3200	1044
754	3204	1039
755	3210	1036
756	3214	1031
757	3218	1027
758	3222	1023
759	3227	1019
760	3230	1014
761	3235	1010
762	3238	1006
763	3243	1001
764	3246	997
765	3250	992
766	3253	988
767	3257	984
768	3261	979
769	3264	975
770	3268	970
771	3271	966
772	3274	961
773	3278	957
774	3282	952
775	3284	948
776	3288	943
777	3291	939
778	3296	935
779	3299	930
780	3302	925
781	3306	921
782	3309	917
783	3312	912
784	3315	908
785	3319	903
786	3322	899
787	3325	894
788	3330	890
789	3334	886
790	3337	881
791	3340	877
792	3344	872
793	3347	868
794	3351	864
795	3354	859
796	3358	855
797	3361	850
798	3364	846
799	3368	842
800	3371	837
801	3375	833
802	3378	828
803	3382	824
804	3385	820
805	3391	816
806	3394	811
807	3400	807
808	3406	804
809	3409	799
810	3414	795
811	3417	791
812	3421	787
813	3425	782
814	3429	778
815	3432	774
816	3437	769
817	3441	765
818	3445	761
819	3448	756
820	3452	752
821	3455	748
822	3458	743
823	3462	739
824	3465	735
825	3469	730
826	3472	726
827	3475	721
828	3478	717
829	3481	713
830	3485	708
831	3488	704
832	3492	700
833	3495	695
834	3498	691
835	3501	686
836	3504	682
837	3508	678
838	3511	673
839	3515	669
840	3518	665
841	3523	661
842	3526	656
843	3528	652
844	3532	647
845	3535	643
846	3539	639
847	3542	634
848	3546	630
849	3549	626
850	3552	622
851	3556	617
852	3559	613
853	3563	609
854	3566	604
855	3571	600
856	3574	596
857	3578	592
858	3581	587
859	3585	583
860	3588	579
861	3594	575
862	3597	571
863	3601	566
864	3604	562
865	3609	558
866	3611	554
867	3616	549
868	3619	545
869	3623	541
870	3625	537
871	3628	532
872	3633	528
873	3636	524
874	3640	520
875	3643	515
876	3647	511
877	3650	507
878	3653	502
879	3657	498
880	3660	494
881	3664	490
882	3667	485
883	3670	481
884	3674	477
885	3677	473
886	3680	468
887	3683	464
888	3687	460
889	3690	456
890	3695	452
891	3698	447
892	3701	443
893	3704	439
894	3707	435
895	3712	430
896	3715	426
897	3719	422
898	3722	418
899	3725	413
900	3729	409
901	3731	405
902	3735	401
903	3738	397
904	3742	392
905	3745	388
906	3750	384
907	3752	380
908	3755	375
909	3759	371
910	3762	367
911	3766	363
912	3769	359
913	3773	355
914	3776	350
915	3778	346
916	3784	342
917	3789	338
918	3793	334
919	3800	330
920	3803	326
921	3807	322
922	3811	317
923	3814	313
924	3817	309
925	3821	305
926	3824	301
927	3828	297
928	3831	292
929	3834	288
930	3837	284
931	3840	280
932	3844	276
933	3847	271
934	3851	267
935	3854	263
936	3857	259
937	3861	255
938	3864	251
939	3868	246
940	3871	242
941	3874	238
942	3877	234
943	3880	230
944	3884	226
945	3887	221
946	3891	217
947	3894	213
948	3897	209
949	3901	205
950	3904	201
951	3908	197
952	3912	192
953	3915	188
954	3918	184
955	3921	180
956	3924	176
957	3929	172
958	3932	168
959	3937	164
960	3940	159
961	3943	155
962	3946	151
963	3949	147
964	3953	143
965	3956	139
966	3960	135
967	3962	131
968	3965	126
969	3969	122
970	3972	118
971	3977	114
972	3980	110
973	3987	106
974	3991	102
975	3995	98
976	3999	94
977	4002	90
978	4006	85
979	4008	81
980	4011	77
981	4015	73
982	4018	69
983	4021	65
984	4024	61
985	4027	57
986	4031	53
987	4034	48
988	4037	44
989	4040	40
990	4043	36
991	4046	32
992	4050	28
993	4054	24
994	4057	20
995	4061	16
996	4065	12
997	4069	8
998	4072	4
999	4075	0
