iter	Logloss
0	0.6869168668
1	0.6789455929
2	0.6709528743
3	0.6635847349
4	0.6562245
5	0.6508444709
6	0.6439159496
7	0.6372435974
8	0.6304320602
9	0.6250395216
10	0.6187655475
11	0.6123851054
12	0.6083290169
13	0.6022660539
14	0.5965231131
15	0.5912437095
16	0.5855918403
17	0.5809444393
18	0.5759232667
19	0.5707524961
20	0.5661669894
21	0.5624901711
22	0.5591970564
23	0.5558668944
24	0.5527420731
25	0.5495827821
26	0.5452808346
27	0.5434025258
28	0.5393755457
29	0.5366351497
30	0.5327008222
31	0.5298990473
32	0.525881037
33	0.5221813992
34	0.5184842015
35	0.5161718076
36	0.5125344079
37	0.5092351071
38	0.5078007466
39	0.5055789776
40	0.5034804473
41	0.5005172867
42	0.4976122401
43	0.494310843
44	0.4915463559
45	0.4895713737
46	0.4868006663
47	0.4854221859
48	0.4837519671
49	0.4815553889
50	0.4789268219
51	0.4774311856
52	0.4746460442
53	0.4729433146
54	0.4715697142
55	0.4699265076
56	0.4676053159
57	0.4659377089
58	0.4638118228
59	0.4616039723
60	0.4593787666
61	0.4580882992
62	0.4560966835
63	0.4547745645
64	0.4532009503
65	0.4518943993
66	0.4504138843
67	0.4485463323
68	0.4467264468
69	0.4449462891
70	0.4433309194
71	0.4416422114
72	0.4406286704
73	0.4389706173
74	0.4371227917
75	0.4354857711
76	0.4344607516
77	0.4331363987
78	0.4323761399
79	0.4310023334
80	0.430143889
81	0.4296569481
82	0.4288546588
83	0.427892874
84	0.4270807902
85	0.426383766
86	0.4256935463
87	0.4240732279
88	0.4232471225
89	0.4224277531
90	0.4212227899
91	0.4200430174
92	0.4189580282
93	0.4181042577
94	0.4177385966
95	0.4161601024
96	0.4153458191
97	0.414153984
98	0.4135537019
99	0.4124355144
100	0.4114419748
101	0.4106769046
102	0.4096256634
103	0.4086196143
104	0.4079223495
105	0.4071721945
106	0.4065931166
107	0.405827359
108	0.40468484
109	0.4037244642
110	0.4029351999
111	0.4021961796
112	0.4011906804
113	0.4007935051
114	0.4003284557
115	0.3995530756
116	0.3985898473
117	0.3977530196
